name,address,city,country,province,latitude,longitude,categories,price_range_min,price_range_max
Station Pizza,14102 Bustleton Ave,Philadelphia,US,Pennsylvania,40.132022,-75.012182,American Restaurant,0,25
Tomatoes Apizza,24369 Halsted Rd,Farmington,US,Michigan,42.470581,-83.416307,Restaurant and Pizza Place,0,25
Elegante Market,9901 Hawaiian Ct,Orlando,US,Florida,28.423717,-81.462497,Traditional Pizza Place,0,25
Papa Johns Pizza,5107 Beatline Rd,Long Beach,US,Mississippi,30.362297,-89.187413,Others,0,25
Mama Romas Pizza XPress,2008 E Morgan Ave,Evansville,US,Indiana,37.991996,-87.528558,Traditional Pizza Place,0,25
Shields Pizza,50750 Romeo Plank Rd,Macomb,US,Michigan,42.670278,-82.939613,Traditional Pizza Place,0,25
Maurizios Pizza and Pasta Bowl,1107 Olive St,Saint Louis,US,Missouri,38.628915,-90.195749,Others,0,25
Key Pizza,1846 S 12th St,Philadelphia,US,Pennsylvania,39.926386,-75.165476,Traditional Pizza Place,0,25
Italian Village Pizza,1084 Wilmot Rd,Scarsdale,US,New York,40.984578,-73.777588,Italian Restaurant,25,40
Guss New York Style Pizza,933 E University Dr,Tempe,US,Arizona,33.421198,-111.925059,Others,25,40
Pats Pizzeria,224 S Bridge St,Elkton,US,Maryland,39.602665,-75.82961,Traditional Pizza Place,0,25
Peter Piper Pizza,9047 E. Baseline Rd.,Mesa,US,Arizona,33.378746,-111.638521,Others,0,25
Bello Vitos,6048 Rossville Blvd,Essex,US,Maryland,39.33409,-76.477199,Traditional Pizza Place,0,25
Franklin Pizza,109 Franklin St,Brooklyn,US,New York,40.729763,-73.95753,Restaurant and Pizza Place,0,25
Patxi’s Pizza,4042 24th St,San Francisco,US,California,37.75143,-122.432856,Restaurant and Pizza Place,25,40
Alpha Pizza,8123 Ridge Rd,Port Richey,US,Florida,28.280991,-82.680089,Traditional Pizza Place,0,25
Francos Tomato Pies,175 S Main St,Morrisville,US,Pennsylvania,40.236428,-74.83164,Traditional Pizza Place,0,25
Screamin Mimis Pizza And Subs,513 E Oglethorpe Ave,Savannah,US,Georgia,32.074957,-81.087512,Traditional Pizza Place,0,25
Papa Vitos Pizza,318 E Washington St,Belleville,US,Illinois,38.51237,-89.979237,Traditional Pizza Place,0,25
Tarantos Pizzeria,1282 E Powell Rd,Lewis Center,US,Ohio,40.156198,-83.001083,Restaurant and Pizza Place,0,25
Papa Johns Pizza,770 S Meadows Pkwy Ste 103,Reno,US,Nevada,39.438251,-119.756118,Restaurant and Pizza Place,0,25
Two Guys Pizza,11636 W Broad St,Glen Allen,US,Virginia,37.653011,-77.613387,Italian Restaurant,0,25
Tonys Brick Oven Pizzeria,2417 14th,Gulfport,US,Mississippi,30.368069,-89.092309,Traditional Pizza Place,0,25
Obies Pizza,2217 Elliston Pl,Nashville,US,Tennessee,36.151254,-86.804068,American Restaurant,0,25
Mountain Mikes Pizza,4141 Manzanita Ave,Carmichael,US,California,38.640666,-121.328287,Restaurant and Pizza Place,0,25
Mr Ps Pizza,1004 Kings Hwy,Lewes,US,Delaware,38.760778,-75.145791,Traditional Pizza Place,0,25
Pisanellos Pizza,110 N Main St,Mount Pleasant,US,Michigan,43.604819,-84.776472,Restaurant and Pizza Place,0,25
Papa Johns Pizza,4529 Duke St,Alexandria,US,Virginia,38.812965,-77.110592,Restaurant and Pizza Place,0,25
Straw Hat Pizza,3001 Delta Fair Blvd,Antioch,US,California,37.99891,-121.838561,Restaurant and Pizza Place,0,25
